名次	学校名称	类型	所在地区	总分	人才培养	科学研究	社会影响
1	北京大学	综合	北京	100.00	100.00	100.00	97.16
2	清华大学	理工	北京	98.50	96.05	99.10	100.00
3	复旦大学	综合	上海	82.79	83.20	81.05	82.91
4	武汉大学	综合	湖北	82.43	82.19	82.36	81.43
5	浙江大学	综合	浙江	82.38	82.22	82.86	80.41
6	中国人民大学	综合	北京	81.98	81.39	82.02	81.62
7	上海交通大学	综合	上海	81.76	81.75	82.45	79.20
8	南京大学	综合	江苏	80.43	80.94	79.74	78.94
9	国防科学技术大学	理工	湖南	80.31	79.66	86.84	70.54
10	中山大学	综合	广东	76.46	75.40	76.48	77.50
11	吉林大学	综合	吉林	76.01	78.32	74.91	71.66
12	中国科学技术大学	理工	安徽	75.14	74.67	76.48	73.05
13	华中科技大学	理工	湖北	75.12	76.58	74.93	71.25
14	四川大学	综合	四川	74.99	76.31	73.58	73.26
15	北京师范大学	师范	北京	74.75	74.99	74.21	74.02
16	南开大学	综合	天津	74.46	74.79	75.00	71.92
17	西安交通大学	综合	陕西	73.56	74.76	72.36	71.87
18	中南大学	综合	湖南	73.13	74.36	71.58	71.92
19	同济大学	理工	上海	72.85	73.91	68.49	76.24
20	天津大学	理工	天津	72.81	72.54	69.66	77.15
21	哈尔滨工业大学	理工	黑龙江	72.72	74.12	70.81	71.72
21	山东大学	综合	山东	72.72	74.37	71.64	69.95
23	厦门大学	综合	福建	72.23	72.03	70.51	74.35
24	东南大学	综合	江苏	71.35	73.60	68.15	70.58
25	北京航空航天大学	理工	北京	70.58	70.68	69.87	70.68
